crit_number,index,radius,coords_1,coords_2,coords_3,coords_4,coords_5,coords_6,coords_7,coords_8,coords_9,coords_10,coords_11,coords_12,contact_graph_1,contact_graph_2,contact_graph_3,contact_graph_4,contact_graph_5,contact_graph_6
24,4,0.25,-0.0208411922,-0.4888510964,0.3359969748,0.1035070014,0.1354262909,-0.0175564766,-0.3964925364,-0.3645733074,-0.0175563949,0.3535072085,-0.1145734744,0.3359969334,0,0,0,0,2,2
25,3,0.25,-0.0809397587,-0.245165207,0.0985443977,-0.0809398148,0.254834793,0.0985443581,-0.3309398705,0.004834793,0.4520977093,0.1690601046,0.004834793,-0.2550090895,2,2,2,2,2,2
26,4,0.25,0.0471075646,0.0104993287,0.5000086353,0.0471073523,0.0104997532,-0.2070977166,-0.4528926477,0.0104993287,-0.2070984335,-0.2028929424,-0.2395003618,0.1464553843,0,2,2,2,2,2
27,5,0.25,-0.2313870627,0.1507554884,-0.4238397464,0.0186129306,0.400755495,-0.0702863558,-0.4813870692,-0.0992445053,-0.0702863559,-0.2313870634,0.1507554889,0.2832670348,2,2,0,0,2,2
28,5,0.2416118766,0.0306590475,-0.0605444685,0.2474861367,-0.4693409075,-0.0605439203,0.2474853561,-0.4693410079,-0.4856732273,0.017767555,0.0306589438,-0.1354154336,-0.229902106,0,1,1,1,1,1
29,4,0.2177102723,0.4164599625,0.1896731248,0.1992617919,-0.3321501107,-0.2457472701,-0.1562577927,-0.3321498205,0.1896732746,-0.15625756,0.4164599272,-0.2457474199,0.1992617394,1,1,1,1,1,1
30,4,0.2071067812,0.1044683299,-0.2161305017,-0.024042572,0.3973615502,0.490976281,-0.024042569,-0.1026384459,-0.0090237192,0.2688506498,0.1044683336,-0.2161305021,-0.4382561344,1,1,1,1,1,1
31,4,0.2054636038,0.1956108436,0.1912729641,0.0975862913,0.4861800338,-0.0992966758,0.0975861695,-0.3043892998,-0.0992963267,-0.2559671729,-0.0138191995,0.191272403,-0.2559674203,1,1,1,1,1,1
32,4,0.1830127019,-0.2860802075,0.0792696411,0.2279498103,-0.1030675057,-0.3150679262,-0.3297277256,0.0799451962,0.0792696411,0.2279498102,-0.1030675057,-0.1037430608,-0.0308692348,1,1,1,1,1,1
33,4,0.1666666667,-0.2896192119,0.0605879279,0.1464129573,0.3992747815,0.2167103883,0.0297698777,-0.4340585562,0.0500437231,-0.2059323868,0.2326081104,0.3833770564,0.265472134,0,0,0,1,1,1
