crit_number,index,radius,coords_1,coords_2,coords_3,coords_4,coords_5,coords_6,coords_7,coords_8,coords_9,coords_10,coords_11,coords_12,coords_13,coords_14,coords_15,coords_16,coords_17,coords_18,coords_19,coords_20,coords_21,coords_22,coords_23,coords_24,contact_graph_1,contact_graph_2,contact_graph_3,contact_graph_4,contact_graph_5,contact_graph_6,contact_graph_7,contact_graph_8,contact_graph_9,contact_graph_10,contact_graph_11,contact_graph_12,contact_graph_13,contact_graph_14,contact_graph_15,contact_graph_16,contact_graph_17,contact_graph_18,contact_graph_19,contact_graph_20,contact_graph_21,contact_graph_22,contact_graph_23,contact_graph_24,contact_graph_25,contact_graph_26,contact_graph_27,contact_graph_28
1500,2,0.21766808,-0.1505711385,-0.2255238726,0.34041151,-0.0818647026,0.2260530511,0.0553744089,-0.1944543554,-0.2925802892,-0.0874848238,0.0710032253,-0.170554874,-0.4102225886,0.2660522684,0.0271108156,0.2253548211,0.2042459241,-0.4634928634,-0.0508166991,0.420916407,-0.1021641174,-0.1604205832,-0.2456859907,0.1180599158,-0.3332354733,0,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1
1501,6,0.2176596004,-0.1972718287,0.3939172052,-0.1653321014,-0.4271353094,-0.2702541687,-0.0107852774,0.0847393272,-0.0523772549,0.097961392,-0.2436470644,-0.0409752903,0.3835050484,0.1816407774,-0.4767672276,0.1004244749,0.4399313466,0.1834179508,0.1859503518,0.0326280994,0.0581078743,-0.3198666383,0.4592887192,0.0836846732,-0.2373478553,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1
1502,0,0.2176567618,0.0452342065,-0.2943581257,-0.2564077335,-0.2763463954,0.383370803,-0.1394074426,0.3241914476,0.1448941522,-0.2071104202,0.0208764961,0.1779235617,0.1033843358,0.0143607833,0.3206938374,-0.4573049819,0.4717806827,-0.2633902078,-0.1751860887,0.0909428564,-0.2459078595,0.1737796151,0.3757469231,0.4296132818,0.1181201349,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1
1503,3,0.2176437461,0.2909952799,0.2534076353,-0.1988173431,-0.3014836612,-0.1841087441,0.0481096085,0.2198208459,0.2312159414,0.2589350202,0.0950459151,-0.0481845576,-0.4440135838,0.3532554105,-0.3162197838,-0.2182698468,-0.2879396336,0.2279857357,-0.0914249744,0.2886605824,-0.1937212335,0.1944006191,0.0173043747,-0.4775839374,0.0066162355,0,0,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1
1504,2,0.2176386261,0.1868071565,0.4051284933,0.2776475419,0.4873553009,-0.3332791153,-0.1247510907,-0.2225535257,0.1561009717,-0.0256189898,-0.0584435645,-0.4413400201,-0.0475393535,0.1724263032,0.1894796053,-0.4385424118,0.1502646846,-0.0610370412,-0.0832727131,0.4364787695,0.0525791435,0.2243621967,0.0816265973,-0.1758683158,0.3309360238,1,0,1,0,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1
1505,5,0.2176336741,-0.4309459115,0.318447647,0.0476975246,0.3203248607,-0.1114807775,-0.2296356584,0.4094697688,-0.0676952367,0.1941492846,-0.0923655692,0.025973893,-0.21380883,0.1353811733,0.2818900442,0.0546981714,-0.148261009,-0.3948485268,-0.1176742592,-0.1676922424,0.0270032043,0.2353549435,0.0718445691,-0.3359863228,0.2531982812,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1
1506,3,0.2176323671,0.0229319122,0.0225131714,0.1973207006,0.2044545976,-0.065602058,-0.3887168118,-0.4255502675,-0.0319361855,-0.1046607303,-0.3411815255,0.3949982505,-0.1126789316,-0.0619638815,-0.2710962429,-0.1125850993,0.3831128275,-0.2182898386,0.2390221083,0.2438611802,0.3382380031,-0.2311867667,0.1132208146,0.4473943196,0.169404524,0,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1
1507,5,0.217629538,-0.0672700995,-0.259892923,0.3577490295,0.2317220156,-0.1215461748,-0.2142532766,0.3549772074,-0.3696189544,0.1214825082,-0.265593495,-0.3915580425,-0.0906555313,-0.3846381082,0.0638045486,0.2155330802,0.1810823216,0.0545947728,0.1878401493,-0.1740250489,0.0276511981,-0.1636575552,0.0948467661,0.3648684245,-0.1049808769,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1
1508,1,0.2176265384,0.306475904,-0.432293563,-0.0504331042,0.3656814521,0.0150205913,0.0064000136,0.2331870794,-0.1100796697,-0.3888725593,-0.0560507564,0.0897562836,0.0838710504,-0.0227018144,-0.224562697,0.383097833,-0.0637231501,-0.4084373863,-0.278092464,-0.1026653675,0.1628896376,-0.3426542497,-0.3053346199,-0.265842554,0.0546775053,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1
1509,1,0.217616702,0.1061891339,-0.3911884502,0.1442828759,-0.0162390849,0.2541131116,-0.111605118,-0.2141538054,0.1199340116,0.2520621211,0.3712996675,-0.0231930145,-0.2210200878,-0.238166067,-0.3716074462,-0.1211680535,-0.0290384795,-0.0895598516,-0.3783507174,0.4900522038,-0.1870410802,0.1643106306,0.3957098668,0.3940498681,-0.0996090701,0,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0
1510,4,0.217608262,0.182389682,0.3098672826,-0.2367757936,0.2603454084,0.0213519125,0.0931582982,-0.4111781415,0.1905723759,-0.1368006276,-0.1128101194,0.2287532839,0.1777342104,0.1280991329,-0.4099542464,0.1486841467,0.4677803134,-0.3070298813,-0.103182273,-0.1157034025,-0.3741582946,-0.2100531482,0.0285869013,-0.0388066389,-0.4469771823,0,1,0,0,0,1,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1
1511,4,0.2175997835,0.1071069503,0.0203891192,0.3166444284,-0.2138526711,-0.0031367373,-0.2362021726,-0.416440831,0.3027074877,-0.0020739797,-0.1274117621,-0.3329355901,0.2188625973,0.0291441418,0.4270946024,-0.3396745062,0.1610402748,0.3761992113,0.0719220589,0.184893837,-0.1699815005,-0.2868253929,-0.4843829631,-0.267864709,-0.0214205968,0,0,1,1,1,0,1,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,0,1
1512,3,0.2175974387,0.3910307429,0.2387351256,-0.1616985911,-0.0533129685,-0.1160332399,-0.4623515233,-0.1859116989,0.4824050501,-0.188014141,0.1901798764,-0.1085078594,0.1119364949,-0.4025507091,-0.2081070798,0.2285821157,-0.4078131189,-0.143958183,-0.211464253,-0.1764367036,0.1172635912,0.0485794368,0.2199557524,-0.368082423,-0.2360994583,1,0,0,1,1,0,1,0,0,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1
1513,5,0.2175972791,-0.0396353065,0.111539216,0.1941357655,0.0776755163,0.2909324842,-0.2416588191,-0.1355141438,-0.4272944553,0.1755948045,-0.3831448429,0.3250748458,-0.1746078885,-0.4939755314,-0.2819989266,-0.0238768641,-0.2435732542,-0.0346906997,-0.3758113365,0.4301259052,0.1082039864,0.1532541563,0.1477231848,-0.1741987349,-0.2461236016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1
1514,3,0.2175924069,0.1389391893,0.0901648036,0.1087623113,-0.0367630806,0.3030771789,-0.2869806874,0.0064088343,-0.1913841642,-0.2225346007,-0.1082687896,-0.1252050295,0.3949263799,-0.394321721,0.3790620091,0.0667579421,-0.365498793,0.0329818838,-0.1955083526,0.0203592651,-0.4914387575,0.0923597446,0.3754247497,-0.2580570012,-0.0017002462,0,0,1,0,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1
