crit_number,index,radius,coords_1,coords_2,coords_3,coords_4,coords_5,coords_6,coords_7,coords_8,coords_9,coords_10,coords_11,coords_12,coords_13,coords_14,coords_15,contact_graph_1,contact_graph_2,contact_graph_3,contact_graph_4,contact_graph_5,contact_graph_6,contact_graph_7,contact_graph_8,contact_graph_9,contact_graph_10
18,2,0.26012249,0.1169869965,0.2538677932,0.285716196,-0.0184813644,-0.4120128557,-0.0893418628,0.0463890049,0.0879871443,-0.217586451,0.0316449556,-0.2461322068,0.4013577975,-0.4663786494,-0.0479433796,0.1181088609,2,0,2,0,2,1,1,1,1,1
19,2,0.2600545656,0.1136098225,-0.0300511838,0.0001287166,-0.0477736488,-0.3914150004,0.3375973456,-0.4670805228,0.2892678928,0.1688655764,-0.344888513,-0.2652981172,-0.0702393973,-0.0892753131,0.3438319327,-0.299141322,2,0,1,2,0,2,1,1,1,1
20,2,0.2600463311,0.4905131959,0.1136133999,-0.0263793909,-0.1437640386,0.2830588895,0.3023065057,-0.0833779133,-0.2169411105,0.1724993673,0.4006239235,-0.3863862921,0.0850657812,-0.0868035504,0.4667292224,-0.2404027651,2,0,2,1,2,1,0,1,1,1
21,3,0.2599920992,-0.0576463714,0.4085189409,0.2115560628,0.1100284027,-0.2270640859,-0.1193050407,-0.2238171594,0.3301306286,-0.3007934167,-0.3899715973,-0.1618563275,0.00770486,0.4423536286,0.3221285064,0.0978885099,2,0,0,2,0,2,1,1,1,1
22,4,0.2598412494,-0.0592608482,0.3191580263,0.3922151774,0.385391722,0.3191580263,-0.1844823958,-0.0869341012,-0.4308423139,-0.2496865802,0.0128583901,0.1165701214,-0.4849173881,-0.1867275631,0.0217451793,-0.0144560467,2,0,0,2,0,2,0,1,1,1
23,3,0.2597091467,0.3631452471,-0.0093141665,-0.3116944487,0.2074320281,0.3448844906,0.0348502511,-0.1368547529,-0.0472712723,-0.1762152188,-0.4309804162,-0.0528872347,0.2518674972,-0.305067972,0.4679771363,-0.0954898279,2,2,0,1,0,1,1,1,1,1
24,1,0.2594709744,-0.1703503328,0.2442554672,-0.0949755835,0.1011934025,0.113288952,0.3274852024,0.3296496672,0.112399856,-0.1387345148,-0.3431814156,-0.2193932183,0.1086444722,0.1011661921,-0.3406638798,-0.2478552086,2,2,0,1,1,1,2,1,1,1
25,2,0.2594346513,0.0236283961,-0.2281708495,-0.0618296392,0.0263467165,0.053688831,-0.5058828604,0.3743092331,0.0499662252,0.2006357324,-0.0676557519,0.271828078,0.0428730935,-0.4394483902,0.098055191,-0.2813569692,0,2,2,1,1,1,1,1,1,1
26,0,0.2593096079,0.057938616,-0.2933460537,0.108335533,-0.1058544723,-0.0923151946,0.5574728272,0.3569077571,0.0428608582,0.3663050199,0.2589694749,-0.1295529655,-0.3408017612,-0.2782682957,0.0056230873,-0.149633954,2,2,2,2,1,1,1,1,1,1
27,2,0.2592936354,0.0891391649,-0.3259341305,-0.1405433656,0.0388129857,-0.1756020482,0.3598388755,-0.2733851888,0.423905752,0.1333309462,-0.406329738,-0.076094248,0.0978555436,0.1547268617,0.1740766313,-0.0193148503,0,2,0,2,0,0,0,2,1,1
28,2,0.2591564599,0.4329778742,-0.3737372616,-0.0235748115,0.2930652542,0.126262634,0.0376091669,-0.2069347458,0.125713036,0.1741667782,-0.0670221258,-0.3742865722,-0.1601324224,0.1130217067,-0.236957238,0.3605707052,0,0,2,2,2,0,2,1,1,1
29,4,0.2588190449,0.3152235013,0.3140184909,-0.0379885668,-0.367789193,-0.0029687983,-0.2968076128,-0.0017637862,-0.0029688165,0.2208304793,0.1322108026,0.1310057844,-0.4862763019,-0.0017637704,-0.368994186,-0.2968076128,2,2,2,2,0,0,1,1,0,0
30,2,0.2586542775,-0.2407184342,0.0295336839,-0.3519389469,-0.004228191,-0.3325638362,-0.0680976323,-0.1224717452,-0.1515138943,0.4970900515,-0.1380317114,0.2058869207,0.1234168293,0.3930888601,-0.0089183142,0.1636530181,2,1,1,1,1,1,1,1,1,1
31,2,0.2584954565,-0.0891293255,0.0674940911,0.0690891118,-0.4794411976,-0.3124138082,-0.1408263916,0.2705588406,-0.2466865157,0.3071026177,0.2705588406,0.1218615766,-0.4000038122,0.0205588022,-0.3124124988,-0.2725571863,0,0,0,0,1,1,2,2,1,1
32,3,0.2584947367,-0.138403194,-0.021548242,0.1344498078,-0.1404433949,-0.2037850198,-0.3494070044,0.043833545,-0.0195082062,0.6183066351,0.018481776,0.3215668322,-0.2191035515,0.3845242876,-0.0444756776,-0.219103264,1,1,2,0,2,1,1,1,1,1
33,3,0.2584328738,-0.1970171713,0.1532070725,0.1858014993,-0.2286356078,-0.1067356207,-0.4183576797,0.3204380301,-0.1776514295,0.004790979,-0.1746247496,-0.3467929275,0.3148316531,-0.0601303398,0.4487019787,-0.215565196,0,0,2,2,1,1,1,1,1,1
34,0,0.2583690713,0.0759301372,-0.3635266771,0.0887122538,-0.0909563054,0.2866216225,0.43042999,0.0759301372,0.11973518,-0.4890185529,0.4257818375,0.2866216226,-0.1473008166,0.3716714516,0.082362937,0.3242591092,2,2,1,1,1,2,1,2,1,1
35,3,0.2581983342,0.3732747526,0.2446001875,-0.1577659356,0.3732747392,-0.2553998058,0.1590644885,0.1232144495,0.1774915938,0.2901358438,0.1233350811,-0.1882911907,-0.416970935,-0.1267252608,-0.2553996471,0.0299694879,0,0,0,0,1,1,2,2,1,1
